IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.benchmarks.serial.Utils: java.util.BitSet createBitSet()>::75
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.jmx.mbeanserver.NamedObject::r3::<com.sun.jmx.mbeanserver.NamedObject: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.ProcessEnvironment$StringEntrySet::r3::<java.lang.ProcessEnvironment$StringEntrySet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.MBeanPermission::r3::<javax.management.MBeanPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.xinclude.XIncludeHandler$UnparsedEntity::r3::<com.sun.org.apache.xerces.internal.xinclude.XIncludeHandler$UnparsedEntity: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.font.Decoration$DecorationImpl::r3::<sun.font.Decoration$DecorationImpl: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.text.StyleContext$FontKey::r3::<javax.swing.text.StyleContext$FontKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Collections$UnmodifiableSet::r3::<java.util.Collections$UnmodifiableSet: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDDescription::r3::<com.sun.org.apache.xerces.internal.impl.dtd.XMLDTDDescription: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xalan.internal.xsltc.compiler.FunctionCall$JavaType::r3::<com.sun.org.apache.xalan.internal.xsltc.compiler.FunctionCall$JavaType: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.text.FieldPosition::r3::<java.text.FieldPosition: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.DoubleDV$XDouble::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.DoubleDV$XDouble: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xml.internal.utils.XMLStringDefault::r3::<com.sun.org.apache.xml.internal.utils.XMLStringDefault: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.misc.ProxyGenerator$ConstantPool$IndirectEntry::r3::<sun.misc.ProxyGenerator$ConstantPool$IndirectEntry: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.swing.tree.TreePath::r3::<javax.swing.tree.TreePath: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.beans.PropertyDescriptor::r3::<java.beans.PropertyDescriptor: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.Double::r3::<java.lang.Double: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.dv.xs.AbstractDateTimeDV$DateTimeData::r3::<com.sun.org.apache.xerces.internal.impl.dv.xs.AbstractDateTimeDV$DateTimeData: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.nio.ch.SocketOptionRegistry$RegistryKey::r3::<sun.nio.ch.SocketOptionRegistry$RegistryKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Proxy$Key1::r3::<java.lang.reflect.Proxy$Key1: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Proxy$Key2::r3::<java.lang.reflect.Proxy$Key2: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.CodeSource::r3::<java.security.CodeSource: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.lang.reflect.Proxy$KeyX::r3::<java.lang.reflect.Proxy$KeyX: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.URL::r3::<java.net.URL: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.xpath.regex.RegularExpression::r3::<com.sun.org.apache.xerces.internal.impl.xpath.regex.RegularExpression: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::com.sun.org.apache.xerces.internal.impl.xs.XMLSchemaValidator$LocalIDKey::r3::<com.sun.org.apache.xerces.internal.impl.xs.XMLSchemaValidator$LocalIDKey: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Optional::r3::<java.util.Optional: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.provider.PolicyFile$SelfPermission::r3::<sun.security.provider.PolicyFile$SelfPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.awt.font.TransformAttribute::r3::<java.awt.font.TransformAttribute: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.security.Provider$UString::r3::<java.security.Provider$UString: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.Hashtable::r3::<java.util.Hashtable: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.jca.ProviderConfig::r3::<sun.security.jca.ProviderConfig: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.security.auth.PrivateCredentialPermission::r3::<javax.security.auth.PrivateCredentialPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.net.URLPermission::r3::<java.net.URLPermission: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::sun.security.x509.Extension::r3::<sun.security.x509.Extension: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::javax.management.openmbean.OpenMBeanConstructorInfoSupport::r3::<javax.management.openmbean.OpenMBeanConstructorInfoSupport: boolean equals(java.lang.Object)>::89
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.util.BitSet::r1::<java.util.BitSet: void set(int,boolean)>::92
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectOutputStream::r2::<java.io.ObjectOutputStream: void close()>::97
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::INVOKE::java.io.ObjectInputStream::r20::<java.io.ObjectInputStream: void close()>::98
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.harness.Context: java.io.PrintStream getOut()>::99
IN METHOD::<spec.benchmarks.serial.Main: void serialize()>::STATICINVOKE::<spec.benchmarks.serial.Utils: void printResult(java.io.PrintStream,java.util.BitSet)>::99
